country,variable,percentile,year,value
AT,sptinc992j,p90p100,2005,0.3549
AT,sptinc992j,p90p100,2006,0.3748
AT,sptinc992j,p90p100,2007,0.353
AT,sptinc992j,p90p100,2008,0.3553
AT,sptinc992j,p90p100,2009,0.3424
AT,sptinc992j,p90p100,2010,0.3472
AT,sptinc992j,p90p100,2011,0.3386
AT,sptinc992j,p90p100,2012,0.3189
AT,sptinc992j,p90p100,2013,0.3212
AT,sptinc992j,p90p100,2014,0.3408
AT,sptinc992j,p90p100,2015,0.3331
AT,sptinc992j,p90p100,2016,0.3417
AT,sptinc992j,p90p100,2017,0.3338
AT,sptinc992j,p90p100,2018,0.333
AT,sptinc992j,p90p100,2019,0.3288
AT,sptinc992j,p90p100,2020,0.3514
AT,sptinc992j,p90p100,2021,0.3415
AT,sptinc992j,p90p100,2022,0.3419
AU,sptinc992i,p90p100,2000,0.3691
AU,sptinc992i,p90p100,2001,0.3643
AU,sptinc992i,p90p100,2002,0.3745
AU,sptinc992i,p90p100,2003,0.3764
AU,sptinc992i,p90p100,2004,0.3833
AU,sptinc992i,p90p100,2005,0.3901
AU,sptinc992i,p90p100,2006,0.392
AU,sptinc992i,p90p100,2007,0.3929
AU,sptinc992i,p90p100,2008,0.3981
AU,sptinc992i,p90p100,2009,0.4037
AU,sptinc992i,p90p100,2010,0.4017
AU,sptinc992i,p90p100,2011,0.404
AU,sptinc992i,p90p100,2012,0.4036
AU,sptinc992i,p90p100,2013,0.4022
AU,sptinc992i,p90p100,2014,0.4031
AU,sptinc992i,p90p100,2015,0.4029
AU,sptinc992i,p90p100,2016,0.3945
AU,sptinc992i,p90p100,2017,0.4002
AU,sptinc992i,p90p100,2018,0.3907
AU,sptinc992i,p90p100,2019,0.3809
AU,sptinc992j,p90p100,2000,0.3189
AU,sptinc992j,p90p100,2001,0.3171
AU,sptinc992j,p90p100,2002,0.3264
AU,sptinc992j,p90p100,2003,0.3261
AU,sptinc992j,p90p100,2004,0.3329
AU,sptinc992j,p90p100,2005,0.3369
AU,sptinc992j,p90p100,2006,0.3383
AU,sptinc992j,p90p100,2007,0.3414
AU,sptinc992j,p90p100,2008,0.3431
AU,sptinc992j,p90p100,2009,0.3512
AU,sptinc992j,p90p100,2010,0.3487
AU,sptinc992j,p90p100,2011,0.3515
AU,sptinc992j,p90p100,2012,0.3508
AU,sptinc992j,p90p100,2013,0.3482
AU,sptinc992j,p90p100,2014,0.3486
AU,sptinc992j,p90p100,2015,0.3448
AU,sptinc992j,p90p100,2016,0.3374
AU,sptinc992j,p90p100,2017,0.3436
AU,sptinc992j,p90p100,2018,0.3376
AU,sptinc992j,p90p100,2019,0.3291
AU,sptinc992j,p90p100,2020,0.3291
AU,sptinc992j,p90p100,2021,0.3291
AU,sptinc992j,p90p100,2022,0.3291
AU,sptinc999j,p90p100,2020,0.3153
AW,sptinc992j,p90p100,2000,0.5494
AW,sptinc992j,p90p100,2001,0.5477
AW,sptinc992j,p90p100,2002,0.546
AW,sptinc992j,p90p100,2003,0.5445
AW,sptinc992j,p90p100,2004,0.543
AW,sptinc992j,p90p100,2005,0.5416
AW,sptinc992j,p90p100,2006,0.5403
AW,sptinc992j,p90p100,2007,0.539
AW,sptinc992j,p90p100,2008,0.5378
AW,sptinc992j,p90p100,2009,0.5366
AW,sptinc992j,p90p100,2010,0.5355
AW,sptinc992j,p90p100,2011,0.5303
AW,sptinc992j,p90p100,2012,0.5252
AW,sptinc992j,p90p100,2013,0.52
AW,sptinc992j,p90p100,2014,0.515
AW,sptinc992j,p90p100,2015,0.5099
AW,sptinc992j,p90p100,2016,0.5049
AW,sptinc992j,p90p100,2017,0.4999
AW,sptinc992j,p90p100,2018,0.495
AW,sptinc992j,p90p100,2019,0.4901
AW,sptinc992j,p90p100,2020,0.4852
AW,sptinc992j,p90p100,2021,0.4852
AW,sptinc992j,p90p100,2022,0.4852
AZ,sptinc992j,p90p100,2000,0.4365
AZ,sptinc992j,p90p100,2001,0.4363
AZ,sptinc992j,p90p100,2002,0.3805
AZ,sptinc992j,p90p100,2003,0.3745
AZ,sptinc992j,p90p100,2004,0.3834
AZ,sptinc992j,p90p100,2005,0.3916
AZ,sptinc992j,p90p100,2006,0.4293
AZ,sptinc992j,p90p100,2007,0.4382
AZ,sptinc992j,p90p100,2008,0.3887
AZ,sptinc992j,p90p100,2009,0.3858
AZ,sptinc992j,p90p100,2010,0.38
AZ,sptinc992j,p90p100,2011,0.385
AZ,sptinc992j,p90p100,2012,0.3908
AZ,sptinc992j,p90p100,2013,0.3865
AZ,sptinc992j,p90p100,2014,0.3865
AZ,sptinc992j,p90p100,2015,0.3814
AZ,sptinc992j,p90p100,2016,0.3737
AZ,sptinc992j,p90p100,2017,0.3822
AZ,sptinc992j,p90p100,2018,0.3822
AZ,sptinc992j,p90p100,2019,0.3822
AZ,sptinc992j,p90p100,2020,0.3822
AZ,sptinc992j,p90p100,2021,0.4287
AZ,sptinc992j,p90p100,2022,0.4287
BA,sptinc992j,p90p100,2000,0.3218
BA,sptinc992j,p90p100,2001,0.3259
BA,sptinc992j,p90p100,2002,0.3328
BA,sptinc992j,p90p100,2003,0.3403
BA,sptinc992j,p90p100,2004,0.3431
BA,sptinc992j,p90p100,2005,0.3417
BA,sptinc992j,p90p100,2006,0.3396
BA,sptinc992j,p90p100,2007,0.3386
BA,sptinc992j,p90p100,2008,0.3455
BA,sptinc992j,p90p100,2009,0.3437
BA,sptinc992j,p90p100,2010,0.3449
BA,sptinc992j,p90p100,2011,0.348
BA,sptinc992j,p90p100,2012,0.3464
BA,sptinc992j,p90p100,2013,0.346
BA,sptinc992j,p90p100,2014,0.3458
BA,sptinc992j,p90p100,2015,0.3469
BA,sptinc992j,p90p100,2016,0.3464
BA,sptinc992j,p90p100,2017,0.3488
BA,sptinc992j,p90p100,2018,0.347
BA,sptinc992j,p90p100,2019,0.3438
BA,sptinc992j,p90p100,2020,0.3422
BA,sptinc992j,p90p100,2021,0.3425
BA,sptinc992j,p90p100,2022,0.3425
BB,sptinc992j,p90p100,2000,0.5494
BB,sptinc992j,p90p100,2001,0.5477
BB,sptinc992j,p90p100,2002,0.546
BB,sptinc992j,p90p100,2003,0.5445
BB,sptinc992j,p90p100,2004,0.543
BB,sptinc992j,p90p100,2005,0.5416
BB,sptinc992j,p90p100,2006,0.5403
BB,sptinc992j,p90p100,2007,0.539
BB,sptinc992j,p90p100,2008,0.5378
BB,sptinc992j,p90p100,2009,0.5366
BB,sptinc992j,p90p100,2010,0.5355
BB,sptinc992j,p90p100,2011,0.5303
BB,sptinc992j,p90p100,2012,0.5252
BB,sptinc992j,p90p100,2013,0.52
BB,sptinc992j,p90p100,2014,0.515
BB,sptinc992j,p90p100,2015,0.5099
BB,sptinc992j,p90p100,2016,0.5049
BB,sptinc992j,p90p100,2017,0.4999
BB,sptinc992j,p90p100,2018,0.495
BB,sptinc992j,p90p100,2019,0.4901
BB,sptinc992j,p90p100,2020,0.4852
BB,sptinc992j,p90p100,2021,0.4852
BB,sptinc992j,p90p100,2022,0.4852
BD,sptinc992j,p90p100,2000,0.4449
BD,sptinc992j,p90p100,2001,0.4459
BD,sptinc992j,p90p100,2002,0.4487
BD,sptinc992j,p90p100,2003,0.4522
BD,sptinc992j,p90p100,2004,0.4532
BD,sptinc992j,p90p100,2005,0.4548
BD,sptinc992j,p90p100,2006,0.4513
BD,sptinc992j,p90p100,2007,0.4488
BD,sptinc992j,p90p100,2008,0.4407
BD,sptinc992j,p90p100,2009,0.4362
BD,sptinc992j,p90p100,2010,0.4363
BD,sptinc992j,p90p100,2011,0.4329
BD,sptinc992j,p90p100,2012,0.4316
BD,sptinc992j,p90p100,2013,0.4302
BD,sptinc992j,p90p100,2014,0.428
BD,sptinc992j,p90p100,2015,0.4248
BD,sptinc992j,p90p100,2016,0.4239
BD,sptinc992j,p90p100,2017,0.424
BD,sptinc992j,p90p100,2018,0.424
BD,sptinc992j,p90p100,2019,0.424
BD,sptinc992j,p90p100,2020,0.424
BD,sptinc992j,p90p100,2021,0.3652
BD,sptinc992j,p90p100,2022,0.3652
BE,sptinc992j,p90p100,2000,0.326
BE,sptinc992j,p90p100,2001,0.3218
BE,sptinc992j,p90p100,2002,0.3157
BE,sptinc992j,p90p100,2003,0.3154
BE,sptinc992j,p90p100,2004,0.3221
BE,sptinc992j,p90p100,2005,0.317
BE,sptinc992j,p90p100,2006,0.3225
