hdi_rank,country,human_development_index_hdi_value_2022,life_expectancy_at_birth_years_2022,expected_years_of_schooling_years_2022,mean_years_of_schooling_years_2022,gross_national_income_gni_per_capita_2017_ppp_2022,gni_per_capita_rank_minus_hdi_rank_2022,hdi_rank_2021
30,Italy,0.906,84.057,16.65806007,10.7401104,44284.15735,1,30
31,Estonia,0.899,79.155,15.94297981,13.54843044,37151.63384,9,32
32,Czechia,0.895,78.129,16.3472805,12.91605342,39944.66682,6,31
33,Greece,0.893,80.614,20.02638054,11.40853024,31381.667,20,33
34,Bahrain,0.888,79.246,16.29968071,11.04658985,48731.44564,-9,34
35,Andorra,0.884,83.552,12.7837801,11.61343956,54233.44948,-15,43
36,Poland,0.881,76.996,15.93451977,13.1647501,35150.9519,7,35
37,Latvia,0.879,75.927,16.55606079,13.33330305,32082.98104,13,39
37,Lithuania,0.879,74.293,16.39982986,13.49810028,38131.23588,2,36
39,Croatia,0.878,79.236,15.57269955,12.32871821,34323.80663,5,37
40,Qatar,0.875,81.559,13.26426983,10.1317219,95944.37754,-38,41
40,Saudi Arabia,0.875,77.905,15.17204484,11.31052971,50620.43706,-18,37
42,Portugal,0.874,82.24,16.82140923,9.575940132,35314.99828,0,39
43,San Marino,0.867,83.433,12.40295982,10.52074301,57686.54334,-30,44
44,Chile,0.86,79.519,16.76792908,11.11136804,24430.99593,15,42
45,Slovakia,0.855,75.33,14.72154999,13.00719575,32171.24606,4,45
45,Türkiye,0.855,78.475,19.68494987,8.811284129,32833.53512,2,48
47,Hungary,0.851,74.958,15.07330036,12.24958992,34195.54059,-2,46
48,Argentina,0.849,76.064,18.97950935,11.14408016,22047.97131,17,47
49,Kuwait,0.847,80.264,15.6911416,7.441742908,56729.18152,-33,50
50,Montenegro,0.844,76.845,15.08475971,12.61621288,22513.26314,12,49
51,Saint Kitts and Nevis,0.838,72.027,18.40703011,10.8494008,28441.68074,3,51
52,Uruguay,0.83,78,17.35183907,9.058219782,22206.99029,12,56
53,Romania,0.827,74.117,14.50753021,11.36019615,31641.38368,-1,52
54,Antigua and Barbuda,0.826,79.236,15.51232774,10.54622968,18783.96536,18,54
55,Brunei Darussalam,0.823,74.551,13.69861984,9.22,59245.63485,-43,53
56,Russian Federation,0.821,70.116,15.66174936,12.41152954,26991.84961,1,55
57,Bahamas,0.82,74.358,11.89137971,12.73161494,32534.88784,-9,67
57,Panama,0.82,76.826,13.21381473,10.68696295,32029.36025,-6,57
59,Oman,0.819,73.935,12.96403027,11.89274979,32967.43827,-13,58
60,Georgia,0.814,71.587,16.72682953,12.70217037,15952.02452,19,59
60,Trinidad and Tobago,0.814,74.708,14.1010764,11.73800258,22473.03876,3,60
62,Barbados,0.809,77.706,16.53069367,9.89206168,14810.23783,24,63
63,Malaysia,0.807,76.26,12.93247032,10.74828052,27295.41224,-7,68
64,Costa Rica,0.806,77.32,16.09200378,8.804059982,20248.38031,2,60
65,Serbia,0.805,74.137,14.50444031,11.5047611,19494.00891,3,60
66,Thailand,0.803,79.68,15.58131027,8.834560711,16886.51113,10,69
67,Kazakhstan,0.802,69.489,14.81626987,12.43337895,22586.79889,-6,65
67,Seychelles,0.802,71.738,13.89179039,11.19995,28385.74806,-12,71
69,Belarus,0.801,73.246,13.98153019,12.24122445,18425.01061,5,65
70,Bulgaria,0.799,71.528,13.86802959,11.41318035,25920.80375,-12,70
71,Palau,0.797,65.362,17.21987569,13.04790021,19343.81199,-2,64
72,Mauritius,0.796,73.975,14.61009979,9.992049863,23251.62071,-12,72
73,Grenada,0.793,75.335,16.58226156,9.85796464,13593.24958,18,73
74,Albania,0.789,76.833,14.48746967,10.12114431,15293.32651,7,74
75,China,0.788,78.587,15.21793605,8.106910446,18024.88747,0,74
76,Armenia,0.786,73.372,14.40561008,11.33030033,15388.29976,4,79
77,Mexico,0.781,74.832,14.50529957,9.221050262,19138.00726,-7,83
78,Iran (Islamic Republic of),0.78,74.556,14.11717033,10.74618321,14770.32307,10,77
78,Sri Lanka,0.78,76.61,13.64182201,11.24960995,11899.49847,24,76
80,Bosnia and Herzegovina,0.779,75.293,13.27705956,10.53631973,16571.41275,-3,77
81,Saint Vincent and the Grenadines,0.772,68.972,16.2530213,10.99625387,14049.14799,9,80
82,Dominican Republic,0.766,74.17,13.55698967,9.150526383,18653.26836,-9,84
83,Ecuador,0.765,77.894,14.86483955,8.969750404,10693.23484,25,90
83,North Macedonia,0.765,73.888,13.00483036,10.22815037,16395.75173,-5,82
85,Cuba,0.764,78.155,14.46930027,10.54807197,7953.448426,40,92
86,Moldova (Republic of),0.763,68.621,14.90598011,11.8338152,12963.61829,8,81
87,Maldives,0.762,80.839,12.17795095,7.762392544,18846.79219,-16,88
87,Peru,0.762,73.385,14.80487907,10.01696229,11916.35952,14,86
89,Azerbaijan,0.76,73.488,12.71063042,10.55612992,15018.05443,-7,95
89,Brazil,0.76,73.425,15.5788002,8.278307638,14615.89235,0,84
91,Colombia,0.758,73.659,14.43749046,8.862859726,15013.92724,-8,89
92,Libya,0.746,72.151,13.977117,7.77860643,19751.56758,-25,90
93,Algeria,0.745,77.129,15.48787975,6.987443608,10978.405710000001,13,93
94,Turkmenistan,0.744,69.41,13.24057961,11.14299353,12859.87406,1,93
95,Guyana,0.742,65.989,13.02205765,8.627408726,35782.90961,-54,105
96,Mongolia,0.741,72.667,14.51719515,9.423700333,10350.86141,15,99
